"city","state","shape"
"Detroit","MI","Other"
"West Dennis","MA","Sphere"
"Sidney","TX","Light"
"Vya (Ghost Town)","NV","Light"
"Yonkers","NY","Sphere"
"Seattle","WA","Light"
"Kirkland","WA","Light"
"Tacoma","WA","Light"
"Riverdale","UT","Light"
"Raleigh","NC","Light"
"Brookings","OR","Circle"
"Ormond Beach","FL","Light"
"Cross Lanes","WV","Light"
"Denver","CO","Formation"
"Renner","SD","Flash"
"Hinsdale","MA","Fireball"
"Orlando","FL","Changing"
"Las Vegas","NV","Disk"
"San Francisco","CA","Light"
"Maricopa","AZ","Other"
"Brown City","MI","Sphere"
"Louisville","CO","Light"
"Loveland","CO","Cigar"
"Eagle Mountain","TX","Other"
"Pasco","WA","Formation"
"Unity","ME","Circle"
"Everett","WA","Circle"
"Tacoma","WA","Oval"
"Severn","MD","Other"
"North Port","FL","Other"
"Butler","MD","Light"
"Santa Barbara","CA","Fireball"
"Lockport","IL","Oval"
"Burns","TN","Fireball"
"Katy","TX","Triangle"
"Nashville","TN","Fireball"
"Seaside Park","NJ","Circle"
"Scottsdale","AZ","Light"
"Glendale","CA","Circle"
"Faison","NC","Oval"
"Eau Claire","WI","Oval"
"Arlington","VA","Circle"
"Prescott","AZ","Oval"
"Murphysboro","IL","Other"
"Miramar","FL","Light"
"Revere","MA","Oval"
"Los Angeles","CA","Disk"
"Sierra Vista","AZ","Circle"
"Brownsville","OR","Disk"
"Lafayette","IN","Light"
"Lowell","MA","Light"
"Winslow","AZ","Fireball"
"Fairdale","KY","Light"
"Chandler","AZ","Fireball"
"Oshkosh","WI","Circle"
"Goodyear","AZ","Fireball"
"Orlando","FL","Other"
"Fond Du Lac","WI","Light"
"Festus","MO","Sphere"
"Lewisburg","PA","Other"
"Poolesville","MD","Sphere"
"Palm Desert","CA","Light"
"Saint Louis","MO","Triangle"
"Silver Creek","GA","Triangle"
"St. Paul","MN","Sphere"
"Charlotte","NC","Sphere"
"Ansonia","CT","Triangle"
"Boise","ID","Sphere"
"Brecksville","OH","Sphere"
"Flint","MI","Sphere"
"Austin","TX","Flash"
"Jupiter","FL","Light"
"Albuquerque","NM","Light"
"St. Paul","MN","Other"
"New Iberia","LA","Circle"
"Detroit","MI","Circle"
"Albuquerque","NM","Diamond"
"Old Greenwich","CT","Disk"
"Ashtabula (Saybrook Twnshp.)","OH","Disk"
"Wayne","MI","Oval"
"Carthage","IN","Fireball"
"San Jose","CA","Fireball"
"Houston","TX","Circle"
"Owensboro","KY","Light"
"Enterprise","AL","Other"
"Avon Lake","OH","Circle"
"Soldotna","AK","Sphere"
"Corpus Christi (Maliki Beach)","TX","Disk"
"Dallas","TX","Triangle"
"Sherwood","OR","Other"
"Columbus","OH","Light"
"Throop","PA","Oval"
"Moorestown","NJ","Oval"
"Spokane","WA","Changing"
"Newfoundland","PA","Other"
"Diamond Bar (On The 57)","CA","Changing"
"Almont","MI","Oval"
"Glencoe","OK","Other"
"Plant City","FL","Disk"
"Stone Ridge","NY","Triangle"
"Stone Ridge","NY","Light"
"Taunton","MA","Circle"
"Clayton","GA","Oval"
"Medford","OR","Fireball"
"Simi Valley","CA","Light"
"Tipton","IN","Sphere"
"Odessa","TX","Diamond"
"Gig Harbor","WA","Light"
"Round Rock","TX","Diamond"
"Lewiston","ME","Formation"
"Corunna","MI","Changing"
"Spokane","WA","Sphere"
"Moorpark","CA","Oval"
"Avon","NC","Chevron"
"Huntsville","AL","Triangle"
"Seattle","WA","Sphere"
"Boise","ID","Light"
"Stevensville","MT","Other"
"Temple","TX","Cylinder"
"Shoreline","WA","Fireball"
"Amity","OR","Circle"
"Milwaukee","WI","Sphere"
"Montesano","WA","Fireball"
"Tumwater","WA","Fireball"
"Portland (40 Mi. West Of)","OR","Circle"
"Kingston","WA","Light"
"Lewistown","IL","Other"
"Allegan","MI","Triangle"
"Louisville","KY","Light"
"Easley","SC","Disk"
"Ridgefield","CT","Triangle"
"Westbury","NY","Disk"
"Kenosha","WI","Light"
"Greenville","NC","Changing"
"Cocoa Beach","FL","Triangle"
"Terrell","TX","Circle"
"Chelsea","MI","Diamond"
"Albany","NY","Cigar"
"Curlew","WA","Sphere"
"Truckee","CA","Chevron"
"Altoona","PA","Light"
"Temecula","CA","Circle"
"Atlanta","GA","Fireball"
"Austin","TX","Teardrop"
"Memphis","TN","Circle"
"Chicago","IL","Disk"
"Sebastopol","CA","Sphere"
"Swannanoa","NC","Fireball"
"Jacksonville","FL","Fireball"
"Beckley","WV","Circle"
"Beckley","WV","Rectangle"
"Clayton","NC","Fireball"
"Hampton","FL","Sphere"
"Jacksonville","FL","Fireball"
"Macon","GA","Fireball"
"Martinez","GA","Fireball"
"Shippensburg","PA","Circle"
"Vanceboro","NC","Fireball"
"Greensboro","NC","Fireball"
"Prophetstown","IL","Other"
"Pollock Pines","CA","Light"
"Cullowhee","NC","Fireball"
"Kannapolis","NC","Light"
"Harrodsburg","KY","Light"
"Mount Morris","MI","Oval"
"Flint","MI","Sphere"
"Vienna","VA","Sphere"
"New Rochelle","NY","Disk"
"Salters","SC","Light"
"Van Buren","AR","Disk"
"Denver","CO","Triangle"
"Phoenix","AZ","Light"
"Pinckney","MI","Light"
"Wellston","MI","Circle"
"Rockport","WV","Fireball"
"Austin","TX","Triangle"
"Quincy","MA","Fireball"
"Denver","CO","Cigar"
"Lancaster","CA","Sphere"
"Nixa","MO","Disk"
"Surprise","AZ","Light"
"Montville","OH","Cone"
"Gainesville","FL","Triangle"
"North Myrtle Beach","SC","Disk"
"Brandon","FL","Light"
"Moline","IL","Triangle"
"Geneva","IL","Other"
"Franklin Falls","NY","Other"
"Foster City","CA","Light"
"Providence","RI","Egg"
"Birmingham","AL","Sphere"
"Prospect","OR","Cigar"
"East Patchogue","NY","Sphere"
"Evanston","IL","Cigar"
"Bellevue","WA","Chevron"
"Hanover","MD","Light"
"East Patchogue","NY","Sphere"
"Peoria","IL","Chevron"
"Buckhead","GA","Light"
"Sacramento","CA","Cigar"
"Houston (Near; In Flight Sighting)","TX","Other"
"Hayward","CA","Light"
"Rock Falls","WI","Light"
"Crown Hill","WV","Triangle"
"Cincinnati","OH","Disk"
"Ellinwood","KS","Disk"
"Glencoe","MN","Light"
"Grand Rapids","MI","Circle"
"Pittsfield","IL","Triangle"
"Columbia","MO","Triangle"
"Haslett","MI","Light"
"Las Vegas","NV","Sphere"
"Monroe","LA","Formation"
"Harrisburg","PA","Formation"
"West Monroe","LA","Light"
"Encino","CA","Other"
"Los Angeles","CA","Formation"
"Reedville","VA","Circle"
"Tampa","FL","Oval"
"Virginia Beach","VA","Triangle"
"Hayward","CA","Sphere"
"Radcliff","KY","Other"
"Burnsville","NC","Changing"
"Cincinnati","OH","Circle"
"Duluth","GA","Sphere"
"Falls Village","CT","Cigar"
"Falls Village","CT","Triangle"
"St. Louis","MO","Light"
"Cincinnati","OH","Light"
"Fayetteville","GA","Light"
"Brookings","OR","Formation"
"Ottumwa","IA","Light"
"Roseburg","OR","Rectangle"
"Pearland","TX","Sphere"
"Southfield","MI","Light"
"Hazard","KY","Light"
"Mesa","AZ","Other"
"Boise","ID","Fireball"
"Spokane","WA","Oval"
"Plymouth","PA","Light"
"Williamsport","PA","Light"
"Hillsborough","NC","Other"
"Wilmington","DE","Disk"
"Billings","MT","Light"
"Dale","IN","Triangle"
"Brandon","MS","Triangle"
"Katy","TX","Disk"
"Seguin","TX","Other"
"Boston","MA","Light"
"Jamaica","NY","Flash"
"Allentown","PA","Rectangle"
"Dania Beach","FL","Oval"
"Mays Landing","NJ","Other"
"Mansfield","MA","Flash"
"Nacogdoches","TX","Light"
"St. Augustine","FL","Circle"
"Penn Valley","CA","Triangle"
"Clermont","FL","Light"
"Foxboro","MA","Light"
"Muscatine","IA","Light"
"Orange Beach","AL","Circle"
"Sunrise","FL","Disk"
"Cove City","NC","Oval"
"Trumbull","CT","Fireball"
"Plano","TX","Triangle"
"Apple Valley","CA","Circle"
"Hermiston","OR","Cylinder"
"Hermiston","OR","Fireball"
"Princeton","MN","Circle"
"Brecksville (Near)","OH","Light"
"New York City (Brooklyn)","NY","Sphere"
"Hampton","NH","Fireball"
"Jackson","WI","Light"
"Severn","MD","Circle"
"Delhi","NY","Light"
"El Paso","TX","Fireball"
"Bunn","NC","Fireball"
"Eau Claire","WI","Fireball"
"Kingsport","TN","Light"
"Sierra Vista","AZ","Triangle"
"Gilbert","AZ","Light"
"Jackson","WI","Fireball"
"Gilbert","AZ","Light"
"Bethany Beach","DE","Sphere"
"South Jordan","UT","Circle"
"Cumberland","MD","Light"
"Glendale","AZ","Light"
"Lexington","SC","Light"
"Anchorage","AK","Light"
"Toledo","OH","Light"
"Salem","NH","Cigar"
"Manitou Springs","CO","Circle"
"Levittown","PA","Light"
"Spokane","WA","Flash"
"Germantown","NY","Light"
"Philadelphia","PA","Sphere"
"Woonsocket","RI","Triangle"
"Levittown","PA","Light"
"Manassas","VA","Triangle"
"Stockton","CA","Light"
"Santa Fe","NM","Disk"
"Federalsburg","MD","Disk"
"Baltimore","MD","Disk"
"Baltimore","MD","Disk"
"Indian Rocks Beach","FL","Light"
"St. George (Ut) To Las Vegas (Nv)","UT","Light"
"Orem","UT","Triangle"
"Franklinton","NC","Circle"
"Rochester","NY","Disk"
"Utica","NY","Disk"
"Norristown","PA","Circle"
"Bluff","UT","Light"
"Campbell","CA","Other"
"Columbia","TN","Formation"
"Lakeville (South Of Twin Cities About 15 Miles)","MN","Light"
"Kansas City","MO","Cylinder"
"Tehachapi","CA","Chevron"
"Lancaster","PA","Light"
"Auburn","WA","Light"
"Tigard (12 Mi So Of Portland&#44 Exit 290 I 5)","OR","Light"
"Alma","WI","Oval"
"West Manchester","OH","Cylinder"
"Rocky Hill","CT","Chevron"
"Saginaw","MI","Cone"
"Fayetteville","AR","Cross"
"Modesto","CA","Formation"
"Murfreesboro","TN","Oval"
"Durham","NC","Fireball"
"Mound","MN","Other"
"Pittsburgh","PA","Diamond"
"Downey","CA","Oval"
"Avon","NY","Fireball"
"Centerburg","OH","Light"
"Burbank","CA","Oval"
"Aurora","CO","Flash"
"Albany","NY","Other"
"Malone","NY","Light"
"Vacaville","CA","Rectangle"
"Austin","TX","Oval"
"Bellflower","CA","Fireball"
"Waterford","NY","Triangle"
"Fresno","CA","Other"
"Grand Blanc","MI","Triangle"
"Scandia","MN","Light"
"Olathe","KS","Light"
"Racine","WI","Sphere"
"Chillicothe","OH","Fireball"
"Bellmore","NY","Oval"
"Rancho Santa Fe","CA","Light"
"Cocoa","FL","Fireball"
"Portland","OR","Light"
"Honolulu","HI","Other"
"San Antonio","TX","Triangle"
"Kansas City","KS","Rectangle"
"Equinunk","PA","Other"
"Heflin","AL","Sphere"
"North Kingstown","RI","Circle"
"Anahola","HI","Disk"
"Seattle","WA","Triangle"
"Hamilton","MT","Diamond"
"Aloha","OR","Light"
"Spring Lake Park","MN","Chevron"
"Maysville","KY","Light"
"Rochester Hills","MI","Light"
"Holden","LA","Diamond"
"Eau Claire","WI","Formation"
"Elk Grove","CA","Sphere"
"Dawsonville","GA","Other"
"South Amboy","NJ","Sphere"
"Kingsport","TN","Circle"
"Castile","NY","Teardrop"
"Bucksport","ME","Sphere"
"Chicago","IL","Light"
"Hagerstown (Near)","MD","Flash"
"Morganton","GA","Oval"
"Myrtle Creek","OR","Light"
"Brookings","OR","Sphere"
"Fayetteville","NC","Disk"
"Mt. Airy","MD","Light"
"Fairfield","TX","Formation"
"Arbuckle","CA","Light"
"Abilene","TX","Changing"
"Redondo Beach","CA","Formation"
"Starke","FL","Sphere"
"Tucson","AZ","Light"
"Cookeville","TN","Changing"
"Englewood","FL","Cigar"
"Canyon Country","CA","Light"
"Thomson","GA","Disk"
"Cape Coral","FL","Light"
"Hardy","VA","Light"
"Fort Myers","FL","Light"
"Boston","MA","Light"
"Otis","OR","Light"
"Charleston","SC","Triangle"
"San Jose","CA","Disk"
"Northridge","CA","Triangle"
"Alsip","IL","Circle"
"Granton","WI","Light"
"Burnsville","NC","Light"
"Burnsville","NC","Light"
"Louisville","KY","Changing"
"Ardmore","OK","Oval"
"Emeryville","CA","Formation"
"Pelham (Valleydale Exit Getting Onto I-65 N)","AL","Circle"
"Boone","NC","Other"
"Ardmore","AL","Light"
"Hulett (Near)","WY","Light"
"Baytown","TX","Light"
"Boone","NC","Light"
"East Orange","NJ","Formation"
"Buffalo","MN","Oval"
"Anchorage","AK","Circle"
"Monterey","CA","Chevron"
"Skippers","VA","Light"
"Maricopa","AZ","Triangle"
"Radcliff","KY","Circle"
"Renton","WA","Diamond"
"Rockport (Aransas Pass)","TX","Changing"
"Colby","KS","Sphere"
"Florence","KY","Teardrop"
"Morris","IL","Formation"
"Paradise Valley","AZ","Triangle"
"North Las Vegas","NV","Light"
"New Bern","NC","Triangle"
"Lafayette","LA","Formation"
"Sarasota","FL","Cylinder"
"Stewartsville","NJ","Egg"
"Turner","ME","Sphere"
"Wyoming","MI","Triangle"
"Edgewater","FL","Teardrop"
"Lawrenceville","GA","Changing"
"Stanton","MI","Cigar"
"Anchorage","AK","Cylinder"
"Milford","CT","Circle"
"Palm Bay","FL","Circle"
"State College","PA","Circle"
"Atlanta","GA","Oval"
"Seguin (Near)","TX","Flash"
"Surprise","AZ","Triangle"
"Cleveland","OH","Disk"
"Cottonwood","AZ","Light"
"Sugar Land","TX","Fireball"
"Framingham","MA","Other"
"San Antonio","TX","Triangle"
"Houston","TX","Sphere"
"Versailles","MO","Fireball"
"Katy","TX","Light"
"Two Rivers","WI","Oval"
"Watertown","MA","Fireball"
"Wilson","OK","Light"
"Barnegat","NJ","Fireball"
"Oxford","PA","Oval"
"Cleveland","OK","Teardrop"
"Imperial","MO","Diamond"
"Twin Lakes","WI","Light"
"Pittsburgh","PA","Disk"
"Irvine","CA","Sphere"
"Fishkill","NY","Formation"
"Ringgold","GA","Circle"
"Los Angeles (Malibu Beach)","CA","Sphere"
"Sedona","AZ","Fireball"
"El Monte","CA","Circle"
"Bettendorf","IA","Light"
"Alhambra","CA","Light"
"Tulsa","OK","Chevron"
"Lewiston","NY","Other"
"Prairie City","OR","Cigar"
"Tracy","CA","Other"
"Newport","OR","Changing"
"Vicksburg","MS","Circle"
"Kalispell","MT","Chevron"
"Crossville","TN","Circle"
"Sandyville","WV","Egg"
"Easton (Forks Twsp.)","PA","Triangle"
"Latrobe","PA","Fireball"
"Howell","MI","Fireball"
"Maple Valley","WA","Other"
"Northford","CT","Egg"
"Kerrville","TX","Circle"
"Charlotte","NC","Oval"
"Mobile","AL","Chevron"
"Bayfield","CO","Triangle"
"Goose Creek","SC","Diamond"
"Marlette","MI","Light"
"Pueblo West","CO","Other"
"Bristol","TN","Triangle"
"Flint","MI","Sphere"
"Burnsville","MN","Diamond"
"Louisville","KY","Oval"
"Orange Beach","AL","Light"
"Huntington Beach","CA","Light"
"South Attleboro","MA","Triangle"
"Heflin","AL","Circle"
"Edina","MN","Formation"
"Westfield","MA","Light"
"Chicago","IL","Light"
"Dividing Creek","NJ","Circle"
"San Marcos","TX","Diamond"
"Providence","RI","Changing"
"New York City (Manhattan)","NY","Other"
"Strasburg","CO","Oval"
"Hillsborough","NJ","Triangle"
"Portland","OR","Circle"
"Mckinney","TX","Fireball"
"Crozet","VA","Other"
"Denver","CO","Chevron"
"New York City (Brooklyn)","NY","Changing"
"Wickenburg","AZ","Formation"
"Joplin","MO","Light"
"Huntington Beach","CA","Light"
"Huntington Beach","CA","Changing"
"Everett","WA","Light"
"Claremont","CA","Circle"
"Murrysville","PA","Light"
"Houston","TX","Light"
"Cottonwood","AZ","Triangle"
"Lubec","ME","Circle"
"Colorado Springs","CO","Triangle"
"Benson","NC","Other"
"Carlsbad","CA","Light"
"Arlington","TX","Light"
"Hockessin","DE","Cylinder"
"Middletown","NY","Light"
"Marshalltown","IA","Triangle"
"Philadelphia","PA","Egg"
"Fort Worth","TX","Triangle"
"Oakland","CA","Light"
"Monroe","NY","Triangle"
"Jacksonville","FL","Light"
"Denver","CO","Light"
"Colorado Springs","CO","Light"
"Dandridge","TN","Disk"
"Mcgill","NV","Light"
"Modesto","CA","Cylinder"
"Visalia","CA","Cigar"
"Boise","ID","Light"
"Des Moines","IA","Diamond"
"Galena","IL","Triangle"
"Covington","GA","Other"
"Pleasanton","CA","Oval"
"Oroville","WA","Sphere"
"Allentown","PA","Light"
"Desert Center","CA","Fireball"
"St. Louis (Clayton)","MO","Chevron"
"Twin Lakes","WI","Cigar"
"San Angelo","TX","Flash"
"Lake Springs","MO","Oval"
"Lake Springs","MO","Oval"
"Battle Creek","MI","Circle"
"New York Mills","MN","Light"
"Simi Valley","CA","Other"
"Davis","CA","Triangle"
"Yelm","WA","Light"
"Canton","IL","Oval"
"Sanford","NC","Triangle"
"Cedar Rapids","IA","Circle"
"Corona","CA","Oval"
"Taylorsville","UT","Circle"
"Brandon","VT","Other"
"Huntington Beach","CA","Oval"
"Yucca Valley","CA","Sphere"
"Maple Valley","WA","Chevron"
"Chula Vista","CA","Circle"
"Montana City","MT","Light"
"Conover","NC","Circle"
"Clinton","IA","Circle"
"Anchorage","AK","Formation"
"Knoxville","TN","Light"
"Eden","ID","Light"
"Shepherdsville","KY","Fireball"
"Marshville","NC","Other"
"Upper Marlboro","MD","Circle"
"San Francisco","CA","Sphere"
"Las Vegas","NV","Cigar"
"Janesville","WI","Cigar"
"La Habra","CA","Circle"
"Meriden","CT","Disk"
"Middletown","OH","Fireball"
"Martinsburg","WV","Light"
"Fairfax Station","VA","Circle"
"Canton","OH","Fireball"
"Martin","MI","Disk"
"Orrington","ME","Changing"
"Caledonia","NY","Triangle"
"Philadelphia","PA","Light"
"Waretown","NJ","Rectangle"
"Hagerstown","MD","Oval"
"Lakeland","FL","Disk"
"Oneonta","AL","Circle"
"New York City","NY","Sphere"
"Selma","NC","Light"
"Portsmouth","NH","Cigar"
"New York City (Queens)","NY","Sphere"
"Green River","UT","Cone"
"Berkeley","CA","Light"
"Milford","CA","Disk"
"Rupert","ID","Sphere"
"Newtown Square","PA","Oval"
"Ripley","TN","Rectangle"
"Klamath Falls","OR","Sphere"
"Hamilton","OH","Cigar"
"Irvine","CA","Diamond"
"Daytona Beach","FL","Changing"
"Sikeston","MO","Light"
"San Jose","CA","Other"
"Turlock","CA","Triangle"
"Lebanon","PA","Light"
"Cooper City","FL","Other"
"Tulsa","OK","Triangle"
"Puyallup","WA","Diamond"
"Verona","WI","Triangle"
"Denver","CO","Sphere"
"Sturgeon Bay","WI","Light"
"San Francisco","CA","Cigar"
"St. Clairsville","OH","Disk"
"Cocoa Beach","FL","Fireball"
"Rockford","IL","Light"
"Anchorage","AK","Other"
"New River","AZ","Other"
"Murrells Inlet","SC","Disk"
"Centerton","AR","Sphere"
"Cliffside","NC","Sphere"
"Wikieup","AZ","Formation"
"Abingdon","VA","Fireball"
"Bouse","AZ","Light"
"Martinsville","IN","Diamond"
"Chatham","VA","Flash"
"North Hollywood","CA","Disk"
"Lakewood","WA","Disk"
"Troy","NY","Light"
"Port Murray","NJ","Sphere"
"Picayune","MS","Disk"
"Williamsville","NY","Light"
"Yuma (Outside Of)","AZ","Disk"
"Irmo","SC","Circle"
"Shoreview","MN","Light"
"Hinkley","CA","Other"
"Silver City","NM","Light"
"Lithia Springs","GA","Sphere"
"Phoenix","AZ","Light"
"Grand Island","NE","Rectangle"
"Nelsonville","OH","Triangle"
"Tinley Park","IL","Light"
"Edmond","OK","Oval"
"Lynnwood","WA","Oval"
"Cheshire","MA","Disk"
"Lodi","CA","Other"
"Spicewood","TX","Disk"
"Los Angeles","CA","Sphere"
"Paoli","WI","Sphere"
"Montgomery","TX","Fireball"
"Georgetown","TX","Oval"
"Buford","GA","Flash"
"Ocala","FL","Oval"
"Mckinney","TX","Other"
"Farmington","MO","Triangle"
"Chisholm","MN","Triangle"
"Hurley (West Of)","SD","Other"
"Stephan","SD","Light"
"Monterey","CA","Light"
"Cameron Park","CA","Light"
"Hillsborough","NJ","Triangle"
"Columbus","OH","Changing"
"Anacortes","WA","Light"
"Edmonds","WA","Flash"
"Nashville","TN","Teardrop"
"Virginia Beach","VA","Chevron"
"Pomeroy","OH","Circle"
"Sacramento","CA","Light"
"Granbury","TX","Circle"
"Charlotte","NC","Other"
"Camarillo","CA","Other"
"Columbus","OH","Sphere"
"Sweet Home","OR","Other"
"Franklin","LA","Oval"
"Houston","TX","Other"
"West Columbia","SC","Flash"
"Burnsville","MN","Triangle"
"Tucson","AZ","Fireball"
"Columbia","SC","Teardrop"
"Garner","NC","Oval"
"Perrysburg","OH","Light"
"Alexandria","VA","Light"
"Manchester","NH","Triangle"
"Oakland","CA","Circle"
"Seagoville","TX","Chevron"
"Catawba","NC","Other"
"Pittsburgh","PA","Sphere"
"Phoenix","AZ","Circle"
"Waldenburg","AR","Triangle"
"Wausau","WI","Oval"
"Boyce","VA","Oval"
"Los Angeles","CA","Sphere"
"Miami","FL","Circle"
"Ventura County","CA","Fireball"
"Seattle","WA","Other"
"Jacksonville","FL","Circle"
"Madison Heights","VA","Oval"
"Madison Heights","VA","Sphere"
"Oakland","CA","Triangle"
"Vicksburg","MS","Circle"
"Loveland","CO","Triangle"
"Evergreen Park","IL","Light"
"Centerport","NY","Sphere"
"Honolulu","HI","Light"
"Crown Point","IN","Circle"
"Webster","MA","Sphere"
"Windber","PA","Fireball"
"West Columbia","SC","Formation"
"East Hanover","NJ","Light"
"Sterling","VA","Chevron"
"Litchfield","NH","Triangle"
"Cincinnati","OH","Circle"
"Moseley","VA","Other"
"Bourne","MA","Circle"
"Santa Ana","CA","Fireball"
"Decatur","GA","Circle"
"Las Vegas","NV","Light"
"Jacksonville Beach","FL","Changing"
"Spokane","WA","Light"
"Batavia","OH","Sphere"
"Woburn","MA","Disk"
"Wellsville","NY","Fireball"
"Charlottesville","VA","Circle"
"Milford","DE","Formation"
"North Myrtle Beach","SC","Light"
"Alexandria","VA","Light"
"Salisbury","NC","Changing"
"Wentzville","MO","Triangle"
"Longmont","CO","Circle"
"Albany","NY","Disk"
"Wenatchee","WA","Oval"
"Ty Ty","GA","Circle"
"Prescott Valley","AZ","Other"
"Milton","VT","Light"
"Mckeesport","PA","Circle"
"Miami","FL","Diamond"
"Brattleboro","VT","Rectangle"
"Prescott","AZ","Flash"
"Ossipee","NH","Circle"
"Logan","UT","Chevron"
"Dandridge","TN","Sphere"
"Weiser","ID","Light"
"Chelan","WA","Oval"
"San Rafael","CA","Formation"
"Arlington","TX","Sphere"
"Kaneohe","HI","Oval"
"Monroeville","PA","Oval"
"Davenport","WA","Circle"
"Walla Walla","WA","Other"
"Orange Park","FL","Circle"
"Medway","OH","Disk"
"Billings","MT","Cylinder"
"Orlando","FL","Other"
"Weehawken","NJ","Other"
"Cave Creek ( N. Scottsdale Border)","AZ","Light"
"New Berlin","WI","Disk"
"Marysville","WA","Fireball"
"Seattle (I-5 At About Ne 65Th)","WA","Fireball"
"Vancouver","WA","Other"
"Humeston","IA","Circle"
"Alexandria","LA","Fireball"
"Erie","CO","Cylinder"
"Hayward","CA","Cylinder"
"Hayward","CA","Disk"
"Norwood","PA","Triangle"
"White Bear Lake","MN","Triangle"
"Southbury","CT","Light"
"Sacramento","CA","Cylinder"
"Jersey City","NJ","Sphere"
"Kamiah","ID","Cigar"
"Mountain Home","AR","Light"
"Seattle","WA","Light"
"Seattle","WA","Sphere"
"Seattle (Ballard Neighborhood)","WA","Egg"
"Albany","NY","Triangle"
"San Luis Obispo","CA","Changing"
"Houston","TX","Light"
"Pueblo","CO","Light"
"Seattle","WA","Cone"
"Vancouver","WA","Circle"
"West Seattle","WA","Fireball"
"Seattle","WA","Circle"
"Pensacola","FL","Triangle"
"Grapevine","TX","Light"
"Manhattan","KS","Light"
"Big Cedar","OK","Light"
"Greenville","SC","Light"
"Vista","CA","Sphere"
"Greendale","WI","Circle"
"Apopka","FL","Light"
"La Mirada","CA","Other"
"Fort Worth","TX","Light"
"Preston","KS","Fireball"
"Phoenix","AZ","Formation"
"Espanola","NM","Fireball"
"Jacksonville","NC","Triangle"
"Yucaipa","CA","Light"
"Park Valley (Near)","UT","Rectangle"
"Cypress","TX","Cylinder"
"Atlanta","GA","Circle"
"Hudson","FL","Triangle"
"Anchorage","AK","Circle"
"Anchorage","AK","Changing"
"St. Augustine","FL","Circle"
"Ukiah","CA","Triangle"
"Wellington","KS","Light"
"Overland Park","KS","Triangle"
"Orlando","FL","Light"
"Warner Robins","GA","Sphere"
"Everett","WA","Teardrop"
"Bozeman","MT","Sphere"
"Williamsville","NY","Triangle"
"Merritt Island","FL","Light"
"Hanford","CA","Cylinder"
"Kansas City","KS","Circle"
"Baton Rouge","LA","Oval"
"Londonderry","NH","Light"
"Jenner","CA","Circle"
"Franklin","MA","Sphere"
"Allen","TX","Other"
"El Paso","TX","Light"
"Abilene","TX","Formation"
"Evant","TX","Circle"
"Madrid","NY","Light"
"Cisco","TX","Formation"
"North Myrtle Beach","SC","Light"
"Cottage Grove","OR","Sphere"
"Galesburg","IL","Fireball"
"Honolulu","HI","Light"
"Carlton","TX","Light"
"Mccordsville","IN","Circle"
"Morehead","KY","Circle"
"Poughkeepsie","NY","Chevron"
"Berea","KY","Light"
"Milpitas","CA","Circle"
"Highland","NY","Other"
"Eureka","CA","Light"
"Hockessin","DE","Sphere"
"Glendale","AZ","Light"
"Phoenix","AZ","Teardrop"
"Phoenix","AZ","Fireball"
"Venice","CA","Chevron"
"Venice","CA","Other"
"Portland","ME","Triangle"
"Boyertown","PA","Circle"
"Phoenix","AZ","Light"
"Bourne","MA","Triangle"
"Sugar Hill (?)","GA","Circle"
"Fairfield","CA","Chevron"
"Shrewsbury","NJ","Circle"
"Webster","MA","Light"
"Alamo","TN","Triangle"
"Hammond","IN","Egg"
"California","MO","Circle"
"Newington","CT","Circle"
"Gatesville","TX","Flash"
"Whitehall","PA","Light"
"San Francisco","CA","Other"
"Berwyn","PA","Circle"
"El Paso","TX","Light"
"Creve Coeur","MO","Disk"
"Willard","NC","Cigar"
"Honolulu","HI","Cylinder"
"New Orleans","LA","Cylinder"
"Portage","IN","Diamond"
"Jackson","NJ","Sphere"
"Lambertville","NJ","Disk"
"Colorado Springs","CO","Triangle"
"Denver","CO","Triangle"
"Oaks","PA","Circle"
"Wasilla","AK","Sphere"
"Longboat Key","FL","Light"
"Rachel","NV","Formation"
"Mukwonago","WI","Triangle"
"Martinsburg","WV","Circle"
"Seminole","FL","Oval"
"Virginia Beach","VA","Circle"
"Myrtle Beach","SC","Formation"
"Fishers","IN","Light"
"Las Vegas","NV","Other"
"Myrtle Beach","SC","Light"
"Santa Fe","NM","Light"
"Norton","MA","Light"
"Surfside Beach","SC","Sphere"
"Murrells Inlet","SC","Fireball"
"Dorchester","MA","Circle"
"Mcarthur","OH","Sphere"
"Millheim","PA","Light"
"Myrtle Beach","SC","Changing"
"North Myrtle Beach","SC","Sphere"
"Charleston","SC","Sphere"
"Hammond","IN","Light"
"Wartrace","TN","Circle"
"Orrington","ME","Sphere"
"Marlboro","NJ","Triangle"
"Milford","NH","Triangle"
"Philadelphia","PA","Light"
"North Andover","MA","Chevron"
"Venice","FL","Sphere"
"Anchorage","AK","Light"
"Oak Forest","IL","Other"
"Bellingham","WA","Light"
"Stratham","NH","Fireball"
"Colorado Springs","CO","Other"
"Choctaw","OK","Disk"
"Colonial Heights","VA","Circle"
"Stilwell","KS","Sphere"
"Cedarville","CA","Light"
"Anchorage","AK","Circle"
"Toutle","WA","Light"
"Natick","MA","Triangle"
"Silverdale","WA","Light"
"Summer Lake","OR","Light"
"Alcova","WY","Light"
"Cottonwood","AZ","Formation"
"Alexandria","VA","Light"
"Hermitage","TN","Light"
"Scottsdale","AZ","Other"
